date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-08 06:31:48,Jojo8890475283,awemany,0,0,0,"PSI Bukannya protes BPJS naik malah cari panggung baru Formula E. Utk target menarik wisatawan dan investor kyknya PSI hrs banyak belajar dari Anies krn investasi ke DKI tertinggi dlm sejarah saat Anies jd gub &Konsep mancing uang hrs pakai duit itulah yg digagas Anies",,,,1192691167919403008,https://twitter.com/Jojo8890475283/status/1192691167919403008
2019-11-08 06:31:47,fakboycoy,,0,0,0,"Menkes Minta masyarakat memaklumi kenaikan iuran BPJS #IuranBPJSKesehatan",,,#IuranBPJSKesehatan,1192691164740124672,https://twitter.com/fakboycoy/status/1192691164740124672
2019-11-08 06:31:40,amelinda675,,0,0,0,"Bpjs memang trasa manfaat untuk yg tidak mampu. Tp kadang suka bingung dg yg naik-turun mobil, dandanan borjuis brobat pake BPJS hampir stiap bulan krna anaknya panas-bapil baru 1 hari~~",,,,1192691137632329729,https://twitter.com/amelinda675/status/1192691137632329729
2019-11-08 06:31:36,Milenialisme1,ASumiti,0,0,0,"Udah cek asean games ada rugi nya gk ? BPJS naik ada bacot nya @psi_id ? Nih yg udh jadi anggaran pada mingkempic.twitter.com/EHSJuKCpyg",,@psi_id,,1192691119156428801,https://twitter.com/Milenialisme1/status/1192691119156428801
2019-11-08 06:31:35,notbuzzer,,0,0,0,"Kenaikan Iuran BPJS Kesehatan Harus Dimaklumi Semua Pihak. #IuranBPJSKesehatanhttps://youtu.be/0PWzh5FeGXk",,,#IuranBPJSKesehatanhttps,1192691113095622656,https://twitter.com/notbuzzer/status/1192691113095622656
2019-11-08 06:31:28,sikidipaps,,0,0,0,"Pemerintah Subsidi Iurab BPJS Kelas III #BPJSKesehatanpic.twitter.com/dmAGJMhceE",,,#BPJSKesehatanpic,1192691085757149189,https://twitter.com/sikidipaps/status/1192691085757149189
2019-11-08 06:31:28,ahmadpd3,,0,0,0,"Cuma ingin bilang BPJS itu fungsinya apa sih #bpjsmenyengsarakan",,,#bpjsmenyengsarakan,1192691084578586624,https://twitter.com/ahmadpd3/status/1192691084578586624
2019-11-08 06:30:55,BPJSKesehatanRI,juniartijune,0,0,0,"Salam Sehat Ibu Juniar. Demi menjaga kerahasiaan data peserta, bisa informasikan NIK/No.kartu JKN-KIS, atas nama dan tanggal lahirnya melalui DM, untuk dicek datanya terlebih dulu. Terima kasih :). -as",,,,1192690946107834368,https://twitter.com/BPJSKesehatanRI/status/1192690946107834368
2019-11-08 06:30:37,HANMAS19,,0,0,0,"Makanya. Mende mendengar saiko susang.. kalau saya bicara..?! nda mungkin sy jerumuskan ko ke lubang yg sama.. Jokowi Bikin Kecewa Relawan, Kenaikan Iuran BPJS 100 Persen Mencekik Wong Cilik https://www.idtoday.co/2019/11/jokowi-bikin-kecewa-relawan-kenaikan.html … lewat @idtodaydotco",,@idtodaydotco,,1192690871465955328,https://twitter.com/HANMAS19/status/1192690871465955328
2019-11-08 06:30:34,minhyunsc,,0,0,0,"Imbauan Menkes. Terawan Agus Putranto: Pemerintah menggelontorkan Rp 26 T ditambah Rp 9.7 T untuk Penerima Bantuan Iuran dalam program BPJS Kesehatan sehingga kenaikan iuran tidak lantas membuat Pemerintah lepas tanggung jawab. #IuranBPJSKesehatan",,,#IuranBPJSKesehatan,1192690860355244032,https://twitter.com/minhyunsc/status/1192690860355244032
2019-11-08 06:30:32,notbuzzer,,0,0,0,"Soal Kenaikan Iuran BPJS, Menkes: Pemerintah Juga Gelontorkan Rp 9,7 T untuk PBI. #IuranBPJSKesehatanhttps://bataraonline.com/soal-kenaikan-iuran-bpjs-menkes-pemerintah-juga-gelontorkan-rp-97-t-untuk-pbi/ …",,,#IuranBPJSKesehatanhttps,1192690848997105664,https://twitter.com/notbuzzer/status/1192690848997105664
2019-11-08 06:30:31,BPJSTKinfo,hhhakim1993,0,0,0,"bersangkutan; Seluruh data dilampirkan asli dan fotokopi. -Lili (2/2)",,,,1192690844156882944,https://twitter.com/BPJSTKinfo/status/1192690844156882944
2019-11-08 06:30:30,BPJSTKinfo,hhhakim1993,0,0,0,"Berikut syarat dokumen bagi peserta yang berhenti bekerja karena mengundurkan diri: 1. Kartu peserta BPJSTK; 2. EKTP; 3. Kartu Keluarga; 4. Surat keterangan pemberhentian bekerja dari perusahaan (paklaring); dan 5. Rekening tabungan atas nama peserta yang (1/2)",,,,1192690841506050048,https://twitter.com/BPJSTKinfo/status/1192690841506050048
2019-11-08 06:30:28,FutureOfKJH,Kemasrey,0,0,0,"coba sekalian disarankan sambil bikin bpjs kak karena Hidrosefalus itu vpshuntnya mesti diganti kalo sudah waktunya atau jaga2 klo mampet atau gimana jadi orangtua gk terlalu pusing untuk cari dana lagi semoga adeknya cepat sembuh",,,,1192690834916790273,https://twitter.com/FutureOfKJH/status/1192690834916790273
2019-11-08 06:30:15,HaluanKita,,0,0,0,"Soal Kenaikan Iuran BPJS, Menkes Sebut Pemerintah Juga Gelontorkan Rp 9,7 T untuk PBI #IuranBPJSKesehatanpic.twitter.com/xNp1tNUMJ1",,,#IuranBPJSKesehatanpic,1192690777744216065,https://twitter.com/HaluanKita/status/1192690777744216065
2019-11-08 06:30:07,masterleader4jo,,0,0,0,"Iuran BPJS Kesehatan Mau Disubsidi, Bisa Jadi Lebih Murah? http://finance.detik.com/read/2019/11/08/103528/4776616/5/iuran-bpjs-kesehatan-mau-disubsidi-bisa-jadi-lebih-murah …",,,,1192690743967698945,https://twitter.com/masterleader4jo/status/1192690743967698945
2019-11-08 06:30:05,mrjoss18,Datuk_T4mburin,0,0,0,"preet lahh. lo kasiin semua gajinlo ke rakyat yang lo bela baru wa angkat topi....tapi kalAu. krtik untuk memuluskan bpjs naik 100 %. nehii yaaaa.",,,,1192690738355523584,https://twitter.com/mrjoss18/status/1192690738355523584
2019-11-08 06:30:01,cacienx,,0,0,0,"Rizal Ramli: Pemerintah Tak Punya Kemauan Bereskan BPJS Kesehatan http://dlvr.it/RHsQFj",,,,1192690720785584130,https://twitter.com/cacienx/status/1192690720785584130
2019-11-08 06:29:53,BPJSTKinfo,ekdmynt,0,0,0,"Perihal pendaftaran kepesertaan yang dimaksud untuk mandiri atau perusahaan? -Lili",,,,1192690688804044801,https://twitter.com/BPJSTKinfo/status/1192690688804044801
2019-11-08 06:29:36,notbuzzer,,0,0,0,"Menkes Minta Semua Pihak Memahami Keputusan Pemerintah Menaikkan Iuran BPJS Kesehatan. #IuranBPJSKesehatanpic.twitter.com/g19oSZMCCm",,,#IuranBPJSKesehatanpic,1192690615768608768,https://twitter.com/notbuzzer/status/1192690615768608768
2019-11-08 06:29:31,4bdur_Rahm4n,,0,0,0,"Saya ga ikut bpjs, cuma mengandalkan harapan Allah memberikan kesehatan dan rezeki yang berkah. Jadi ga pusing soal iuran yg naik, apalagi ada unsur gharar disitu.",,,,1192690595824713728,https://twitter.com/4bdur_Rahm4n/status/1192690595824713728
2019-11-08 06:29:06,BPJSKesehatanRI,Za_AdiPermana,0,0,0,"Salam Sehat Bapak. Demi menjaga kerahasiaan data peserta, bisa informasikan NIK/No.kartu JKN-KIS, atas nama dan tanggal lahirnya melalui DM, untuk dicek datanya terlebih dulu. Terima kasih :). -as",,,,1192690488937041920,https://twitter.com/BPJSKesehatanRI/status/1192690488937041920
2019-11-08 06:28:51,tasyapraaa,,0,0,0,"Menteri keuangan, : Perubahan rencana tarif kenaikam BPJS - Tandatangani Petisi! http://chng.it/Kjcqsr9J lewat @ChangeOrg_ID Tlg bantu isi petisi ini guys",,@ChangeOrg_ID,,1192690427473756160,https://twitter.com/tasyapraaa/status/1192690427473756160
2019-11-08 06:28:44,Choco15614184,BigAlphaID,0,0,0,"Dapet BPJS & askes juga dr kantor, tp krn cuma cover kesehatan, ane ambil asuransi jiwa bayar premi sendiri dr allianz.",,,,1192690398990221313,https://twitter.com/Choco15614184/status/1192690398990221313
2019-11-08 06:28:29,JaritaKirana,hnurwahid,0,0,0,"BPJS naik 100% togog diam. KAIN celana naik 10cm togog ribut. #OtakTogogRadikal",,,#OtakTogogRadikal,1192690334741852160,https://twitter.com/JaritaKirana/status/1192690334741852160
2019-11-08 06:28:17,Dato_MZA,,0,0,1,"PMI apakah akan dapat BPJS dan apakah ikut naik. Sy rasa Khusus PMI tak perlu naik karena mereka meyumbang Rp 155 T utk negara. Kemana uang ya. Sementara penzoliman terus terjadi. #BPJSMenyusahkanRakyat @jokowi @BNP2TKI_ @DPR_RI #BPJSRentenir #BPJSPerampokanTerselubung #bpjspmi – at Plaza Law yat kuala lumpur",,@jokowi @BNP2TKI_ @DPR_RI,#BPJSMenyusahkanRakyat #BPJSRentenir #BPJSPerampokanTerselubung #bpjspmi,1192690283789443072,https://twitter.com/Dato_MZA/status/1192690283789443072
2019-11-08 06:28:03,amora_okta,,0,0,0,"@BPJSKesehatanRI min, bpjs katanya naik 1 januari 2020. Ko tagihan saya tau"" naik ya... Harusnya kelas 1 80rb/orang malah tagihannya 160rb/orang. Padahal akhir bulan baru liat tagihan di aplikasi jkn masih 80rb/orang. Ada yg salah atau terhitung 2bulan?",,@BPJSKesehatanRI,,1192690223727050753,https://twitter.com/amora_okta/status/1192690223727050753
2019-11-08 06:28:01,arullmam,,0,0,0,"Bpjs oh Bpjs https://www.facebook.com/1063532273/posts/10214946048619052/ …",,,,1192690216282345473,https://twitter.com/arullmam/status/1192690216282345473
2019-11-08 06:27:28,msirulhaq,,0,0,0,"BPJS itu Pemerasan ? https://www.facebook.com/1527443852/posts/10219769559139263/ …",,,,1192690080445431808,https://twitter.com/msirulhaq/status/1192690080445431808
2019-11-08 06:26:56,fandyandrea,zakwannur,0,0,0,"Ngene pasti ono seng muni tuku rokok iso BPJS mundak sambat .... https://twitter.com/zakwannur/status/1192374679018721280 …",,,,1192689943069380608,https://twitter.com/fandyandrea/status/1192689943069380608
2019-11-08 06:26:37,primusrlw,Andy_Budiman_,0,0,0,"Yup mendingan usul disalurkan ke BPJS yg lg defisit hingga mau kenaikan iuran tarif.mendingan disalurkan utk kepentingan org banyak(BPJS)drpd kepentingan Anies sendiri(Formula E).. https://twitter.com/Andy_Budiman_/status/1192329407093854209 …",,,,1192689863381770240,https://twitter.com/primusrlw/status/1192689863381770240
2019-11-08 06:25:36,dodicktan,,0,0,0,"https://www.tribunnews.com/regional/2019/11/08/gp-ansor-bangka-belitung-dukung-tumpas-radikalisme-dan-tolak-kenaikan-bpjs-kesehatan … GP Ansor Bangka Belitung dukung tumpas radikalisme dan tolak kenaikan BPJS kesehatan",,,,1192689607139196929,https://twitter.com/dodicktan/status/1192689607139196929
2019-11-08 06:25:35,ariyan_ana,Mulyono07704872,0,0,1,"Mayan buat bayar iuran BPJS",,,,1192689605432098816,https://twitter.com/ariyan_ana/status/1192689605432098816
2019-11-08 06:25:32,ElshintaDotcom,,0,1,1,"IDI Sleman ingatkan dokter untuk pahami aturan BPJS @PBIDI @BPJSKesehatanRIhttps://elshinta.com/news/192187/2019/11/08/idi-sleman-ingatkan-dokter-untuk-pahami-aturan-bpjs …",,@PBIDI @BPJSKesehatanRIhttps,,1192689590559105024,https://twitter.com/ElshintaDotcom/status/1192689590559105024
2019-11-08 06:25:24,rizkimono_,rugayahh_,0,0,0,"PNS kerja Senin-Jumat tuh produktivitas segitu2 aja",,,,1192689559978405893,https://twitter.com/rizkimono_/status/1192689559978405893
2019-11-08 06:25:01,wagimanpawiro,,0,0,0,"@disnakertransb mohon diberi penjelasan kepada bagian penerima karyawan baru di PT.TIRTA INTIMIZU NUSANTARA di daerah Balaraja bahwasanya terjadi ketidakadilan karena salah satu syarat diterimanya menjadi karyawan di PT tsb tidak boleh menjadi peserta BPJS KIS dari pemerintah",,@disnakertransb,,1192689464012754945,https://twitter.com/wagimanpawiro/status/1192689464012754945
2019-11-08 06:24:28,BentengSumbar,,0,0,0,"Rumah Nawacita Minta Jokowi Batalkan Kenaikan Iuran BPJS Kesehatan Kelas 3 https://goo.gl/fb/7ph8u2",,,,1192689324464230400,https://twitter.com/BentengSumbar/status/1192689324464230400
2019-11-08 06:24:18,skalanews,,0,0,0,"DPRD Jatim Minta Evaluasi Kinerjanya BPJS Terkait Tunggakan RS https://skalanews.com/read/329242 #skalanews via @skalanews",,@skalanews,#skalanews,1192689282172866560,https://twitter.com/skalanews/status/1192689282172866560
2019-11-08 06:24:13,EdyGypsum,,0,1,1,"PW GP ANSOR Bangka Belitung Menyatakan sikap yg salah satunya meminta pada presiden Jokowi agar membatalkan kenaikan BPJS dimana kenaikan tersebut sangat memberatkan masyarakat bawah Mohon pak @jokowi agar bisa membatalkan kenaikan BPJS pic.twitter.com/6usl8NWuYx",,@jokowi,,1192689261205524480,https://twitter.com/EdyGypsum/status/1192689261205524480
2019-11-08 06:24:04,BPJSKesehatanRI,RanniHikaru,0,0,0,"Salam Sehat Ibu Rani. Dengan senang hati. DM sudah saya terima, interaksi akan dilanjutkan via DM ya. Terima kasih :) -as",,,,1192689223880470528,https://twitter.com/BPJSKesehatanRI/status/1192689223880470528
2019-11-08 06:23:14,vivinclarenta,BigAlphaID,0,0,0,"BPJS Kesehatan ada, asuransi ada https://twitter.com/BigAlphaID/status/1192623262552842243 …",,,,1192689012340736000,https://twitter.com/vivinclarenta/status/1192689012340736000
2019-11-08 06:23:08,katedotid,,0,0,0,"Legislator Ngotot Iuran BPJS Kesehatan Kelas III Tak Dinaikkan https://kate.id/2019/11/08/legislator-ngotot-iuran-bpjs-kesehatan-kelas-iii-tak-dinaikkan/ …",,,,1192688986554109953,https://twitter.com/katedotid/status/1192688986554109953
2019-11-08 06:22:55,ArdenIndra,capcipcuppa,0,0,0,"Tapi saya malu sbg tenaga kesehatan melihat Bpjs naik nya bener2 kelewat batas",,,,1192688935048105986,https://twitter.com/ArdenIndra/status/1192688935048105986
2019-11-08 06:22:52,AnadoluAgencyID,,0,0,0,"DPR tolak kenaikan BPJS kesehatan untuk peserta mandiri kelas III https://www.aa.com.tr/id/ekonomi/dpr-tolak-kenaikan-bpjs-kesehatan-untuk-peserta-mandiri-kelas-iii/1638935 …",,,,1192688921534091265,https://twitter.com/AnadoluAgencyID/status/1192688921534091265
2019-11-08 06:22:40,megkumala,azel_faith,0,0,0,"soalnya kalo bpjs administrasi dobel utk rs dan bpjs, pasien umum cukup administrasi utk rs saja pak hehe",,,,1192688871160479744,https://twitter.com/megkumala/status/1192688871160479744
2019-11-08 06:22:37,Y_Hidayat_,,0,1,5,"Kali aje blm pd tahu Gaji Pejabat: Presiden : 60jt an Wapres : 42jt an Menteri: 5jt an Gubernur BI: 200 jt an direksi BPJS dpt insentif Rp340jt an per bulan, utk Dewas nya 211jt an/bln, plus tunjangan cuti 1bln gaji **disarikan dari berbagai sumber, kalo salah mohon koreksi",,,,1192688856522354688,https://twitter.com/Y_Hidayat_/status/1192688856522354688
2019-11-08 06:22:28,adtaufiq,,0,0,0,"GP Ansor Bangka Belitung Dukung Tumpas Radikalisme dan Tolak Kenaikan BPJS Kesehatan. #TumpasRadiklaisme #TolakKenaikanBPJS @BPJSKesehatanRIhttps://www.tribunnews.com/regional/2019/11/08/gp-ansor-bangka-belitung-dukung-tumpas-radikalisme-dan-tolak-kenaikan-bpjs-kesehatan …",,@BPJSKesehatanRIhttps,#TumpasRadiklaisme #TolakKenaikanBPJS,1192688818471616512,https://twitter.com/adtaufiq/status/1192688818471616512
2019-11-08 06:22:12,cicit_cuiitt,ganafmargi,0,0,1,"Bettuul, tergantung RS nya.. Di SBy alhamdulillah RS nya ramah BPJS",,,,1192688754055499776,https://twitter.com/cicit_cuiitt/status/1192688754055499776
2019-11-08 06:21:18,BPJSKesehatanRI,gufroneko,0,0,0,"Salam Sehat Bapak Gufron. Demi menjaga kerahasiaan data peserta, bisa informasikan NIK/No.kartu JKN-KIS, atas nama dan tanggal lahirnya melalui DM, untuk dicek datanya terlebih dulu. Terima kasih :). -as",,,,1192688527256875008,https://twitter.com/BPJSKesehatanRI/status/1192688527256875008
2019-11-08 06:21:02,Awwkardi,Y_Hidayat_,0,0,0,"Sy bingung. Jasa raharja itu kok gak pernah laporan keuangan tahunan untung apa rugi. Klo untung masuknya ke kas negara atau masuk ke mana. Sedangkan bpjs teriak2 rugi terus",,,,1192688459023966208,https://twitter.com/Awwkardi/status/1192688459023966208
2019-11-08 06:20:46,rizkasolehah,,0,0,0,"Terlepas dr positif-negatifnya BPJS. Saya rasanya tetep sedih ngeliat orang menengah ke bawah yg harus rawat inap di RS, tp mrk ga punya BPJS",,,,1192688391818604544,https://twitter.com/rizkasolehah/status/1192688391818604544
2019-11-08 06:20:41,eyang177,DeeDee10242082,1,0,1,"Saya bilang begitu karena ada tetangga ada yg begitu mbk punya toko kebon ratusan hektar mobil pajero ehh giliran sakit ngurus bpjs yg gratis",,,,1192688369878228992,https://twitter.com/eyang177/status/1192688369878228992
2019-11-08 06:20:32,tribunjateng,,0,0,0,"Ribka Tjiptaning Geram dengan Sistem Iuran BPJS Kesehatan: Ini Pemerasan https://jateng.tribunnews.com/2019/11/08/ribka-tjipaning-geram-dengan-sistem-iuran-bpjs-kesehatan-ini-pemerasan … lewat @tribunjateng",,@tribunjateng,,1192688331793977344,https://twitter.com/tribunjateng/status/1192688331793977344
2019-11-08 06:20:06,Firman2941,Ilham_Khanna,0,0,0,"dan togog pun bahgia iuran BPJS naik,!!!",,,,1192688225040519168,https://twitter.com/Firman2941/status/1192688225040519168
2019-11-08 06:19:43,Maritim_Energy,,0,0,0,"Sadar tak sih, klo PROTES DPR agar ditata ulang yg baik dulu jadi spt DAGELAN? PERPRES kenaikan iuran BPJS 75/2019 sdh di TT DUL",,,,1192688128487645185,https://twitter.com/Maritim_Energy/status/1192688128487645185
2019-11-08 06:19:41,milanisti4ev3r,pwdd_swekecity,0,0,0,"Tonggoku seng duete wuakeh wani nesu"" nek RS BPJS di suwek"" langsung bayar cash lagi oleh ruangan kanggo wong tuwone wkwkwwkwk",,,,1192688121718005760,https://twitter.com/milanisti4ev3r/status/1192688121718005760
2019-11-08 06:19:41,Ferieny,CH_chotimah,0,0,0,"Ketika kritik BPJS g didengar. Mending teriakin anis. Bakal banyak yg muji. N(g)ul.",,,,1192688120090644480,https://twitter.com/Ferieny/status/1192688120090644480
2019-11-08 06:19:26,AbduhMaulana21,pandji,0,0,0,"Yah cuma atap JPO mau dibongkar aja lu sewot. BPJS naik lu diem.",,,,1192688057389989888,https://twitter.com/AbduhMaulana21/status/1192688057389989888
2019-11-08 06:19:19,Watonklakson,artofaveiro,0,0,0,"Aku sek nganggur, bpjs isih kelas 1 ngikuti sebelume ditanggung kepala keluarga. Thn 2020 munggah kepekso mudun kelas, abot lurrr",,,,1192688025966239744,https://twitter.com/Watonklakson/status/1192688025966239744
